Rank,Coin Name,Symbol, Price ,1h,24h,7d,30d, 24h Volume ,Circulating Supply,Total Supply, Market Cap 
1967,SpaceDawgs,DAWGS, $-   ,-0.10%,5.30%,30.60%,870.10%,"$1,813.00 ","758,888,726,200",1 Trillion,"$1,281,606.00 "
1968,FlatQube,QUBE,0.47,0.70%,25.10%,177.70%,37.40%,"$2,048.00 ","2,739,528",14.9 Million,"$1,279,285.00 "
1969,SpiritSwap,SPIRIT, $-   ,0.00%,-4.00%,38.80%,196.70%,"$106,924.00 ","420,639,499",1 Billion,"$1,279,154.00 "
1970,Digix Gold,DGX,49.56,-0.10%,-2.20%,0.90%,2.00%,$38.45 ,"25,792",15.4 Thousand,"$1,278,004.00 "
1971,Feisty Doge NFT,NFD, $-   ,,1.80%,-2.10%,11.40%,"$2,345.00 ","56,042,983,567",100 Billion,"$1,272,359.00 "
1972,tSILVER,TXAG,0.65,0.60%,0.40%,-0.20%,-1.10%,"$2,196.00 ","1,979,484",1.98 Million,"$1,276,971.00 "
1973,DinoX,DNXC,0.01,0.00%,-1.10%,-5.90%,37.20%,"$46,653.00 ","160,000,000",160 Million,"$1,270,701.00 "
1974,Wagie Bot,WAGIEBOT,0.13,-0.30%,-1.00%,-24.10%,-13.60%,"$278,057.00 ","9,500,000",10 Million,"$1,269,014.00 "
1975,HarryPotterTrumpHomerSimpson777Inu,ETHEREUM, $-   ,-0.10%,1.00%,-7.10%,-11.80%,"$2,088.00 ","989,484,749",989 Million,"$1,262,053.00 "
1976,Paladin,PAL,0.11,-,-,-,-, - ,"11,099,978",50 Million,"$1,266,247.00 "
1977,Y2K,Y2K,0.54,0.40%,3.00%,-2.10%,23.50%,"$16,487.00 ","2,349,490",20 Million,"$1,258,362.00 "
1978,Perpy Finance,PRY, $-   ,-0.40%,5.90%,-1.40%,32.20%,"$19,053.00 ","297,900,017",1 Billion,"$1,257,037.00 "
1979,Belt,BELT,0.07,-0.50%,-8.00%,-5.90%,7.00%,"$8,887.00 ","16,830,452",33.3 Million,"$1,253,064.00 "
1980,Vesta Stable,VST,1.00,0.00%,0.10%,0.10%,0.10%,"$10,260.00 ","1,253,589",1.25 Million,"$1,252,764.00 "
1981,Avocado DAO,AVG,0.03,0.40%,3.10%,18.80%,93.20%,"$36,227.00 ","44,698,459",1 Billion,"$1,250,146.00 "
1982,Biconomy Exchange Token,BIT, $-   ,0.00%,-2.10%,-0.40%,-0.40%,"$64,427.00 ","369,076,903,101",1 Trillion,"$1,245,500.00 "
1983,PintSwap,PINT,0.01,2.20%,21.50%,10.50%,77.90%,"$23,242.00 ","131,585,104",1 Billion,"$1,245,627.00 "
1984,BAI Stablecoin,BAI,1.01,0.90%,1.20%,0.60%,0.40%,"$26,221.00 ","1,229,686",1.23 Million,"$1,242,038.00 "
1985,THX Network,THX,0.04,0.00%,1.00%,-2.00%,10.40%,"$6,433.00 ","31,692,501",100 Million,"$1,241,841.00 "
1986,VEMP,VEMP, $-   ,-0.20%,-2.70%,-18.80%,-2.20%,"$446,273.00 ","259,640,332",808 Million,"$1,241,429.00 "
1987,EvidenZ,BCDT,0.03,1.00%,3.90%,-0.70%,-13.70%,"$25,136.00 ","35,765,781",40.8 Million,"$1,241,366.00 "
1988,TenX,PAY,0.01,1.90%,-7.00%,-14.00%,6.50%,"$42,433.00 ","118,141,601",205 Million,"$1,233,288.00 "
1989,Revolt 2 Earn,RVLT, $-   ,0.90%,1.10%,48.40%,58.00%,$602.00 ,"65,071,523,369,093",65.4 Trillion,"$1,231,397.00 "
1990,AICHAIN,AIT, $-   ,0.50%,-1.30%,0.90%,14.80%,"$5,596.00 ","626,129,652",2.1 Billion,"$1,230,429.00 "
1991,Idena,IDNA,0.02,-0.60%,-2.60%,16.80%,35.30%,"$31,199.00 ","66,000,712",∞,"$1,226,903.00 "
1992,Hex Orange Address,HOA,0.01,0.60%,12.80%,0.50%,46.40%,"$26,326.00 ","150,166,853",150 Million,"$1,226,289.00 "
1993,Hord,HORD,0.01,-0.50%,-2.70%,-5.70%,47.00%,"$58,826.00 ","99,961,388",320 Million,"$1,225,146.00 "
1994,Revolve Games,RPG,0.02,-0.80%,-12.30%,-16.60%,45.60%,"$16,266.00 ","57,033,164",95 Million,"$1,220,469.00 "
1995,SHOPX,SHOPX,0.01,0.40%,-0.40%,12.90%,12.10%,"$155,226.00 ","161,650,222",500 Million,"$1,217,452.00 "
1996,OneArt,1ART,0.01,0.10%,-7.50%,-19.00%,-9.70%,"$42,093.00 ","202,342,004",-,"$1,217,393.00 "
1997,EpiK Protocol,AIEPK,0.01,-1.40%,-1.60%,31.50%,90.50%,"$114,664.00 ","155,106,967",400 Million,"$1,214,037.00 "
1998,Spain National Football Team Fan Token,SNFT,0.05,2.30%,7.60%,33.10%,32.30%,"$110,129.00 ","22,903,472",22.9 Million,"$1,212,241.00 "
1999,Tidal Finance,TIDAL, $-   ,0.30%,18.80%,4.50%,81.50%,"$266,084.00 ","5,998,883,318",19.8 Billion,"$1,212,304.00 "
2000,XSwap Protocol,XSP, $-   ,-0.10%,-4.20%,-1.60%,9.60%,"$3,046.00 ","2,397,019,873",13 Billion,"$1,206,457.00 "
2001,LGCY Network,LGCY, $-   ,0.10%,-3.10%,-8.70%,-15.90%,"$56,888.00 ","12,305,592,497",100 Billion,"$1,200,965.00 "
2002,Pillar,PLR, $-   ,0.00%,13.50%,3.20%,20.40%,$585.00 ,"259,348,201",800 Million,"$1,200,782.00 "
2003,ZeroLiquid,ZERO,0.16,2.10%,-5.90%,-5.00%,2.60%,"$54,937.00 ","7,723,302",80.3 Million,"$1,199,804.00 "
2004,Plasma Finance,PPAY, $-   ,-0.10%,-1.40%,12.50%,-9.90%,$617.00 ,"950,000,000",1 Billion,"$1,199,366.00 "
2005,Decentral Games ICE,ICE, $-   ,0.70%,-3.40%,-7.20%,0.30%,"$14,296.00 ","398,325,652",411 Million,"$1,197,288.00 "
2006,Agave,AGVE,43.07,0.50%,2.20%,22.90%,51.20%,"$6,819.00 ","27,800",100 Thousand,"$1,195,382.00 "
2007,Blacksmith Token,BS, $-   ,-0.10%,4.20%,-18.80%,-44.70%,"$14,814.00 ","310,124,648",1 Billion,"$1,191,503.00 "
2008,Onigiri Kitty,OKY,0.01,-0.50%,-9.90%,-13.80%,,"$2,037.00 ","109,215,879",109 Million,"$1,189,972.00 "
2009,AntiMatter,MATTER,0.04,-1.10%,3.40%,12.90%,37.50%,"$301,545.00 ","33,194,608",100 Million,"$1,189,756.00 "
2010,DogeBonk,DOBO, $-   ,-0.60%,-10.10%,-8.70%,10.20%,"$1,600.00 ","555,679,170,768,111",1 Quadrillion,"$1,188,299.00 "
2011,Silent Notary,UBSN, $-   ,0.60%,-4.60%,-0.50%,-18.00%,"$158,537.00 ","159,642,058,841",186 Billion,"$1,188,027.00 "
2012,0xBitcoin,0XBTC,0.11,-0.20%,-0.20%,-0.40%,-5.10%,$378.00 ,"10,835,900",21 Million,"$1,187,469.00 "
2013,Natus Vincere Fan Token,NAVI,0.37,-0.70%,0.50%,0.40%,29.40%,"$9,769.00 ","3,172,360",5 Million,"$1,178,566.00 "
2014,Flooring Protocol μMutantApeYachtClub,ΜMAYC,0.01,-0.40%,-1.30%,-13.40%,,"$44,490.00 ","122,000,000",122 Million,"$1,177,230.00 "
2015,FaraLand,FARA,0.03,-0.30%,-10.10%,-5.10%,2.70%,"$34,920.00 ","40,350,000",71 Million,"$1,175,867.00 "
2016,April,APRIL,0.01,-0.60%,-6.70%,-4.50%,-36.70%,"$50,926.00 ","105,788,271",125 Million,"$1,175,933.00 "
2017,UBXS,UBXS,0.05,-0.70%,-3.60%,-5.90%,95.50%,"$257,485.00 ","23,627,206",98 Million,"$1,172,477.00 "
2018,Tyrion.finance,$TYRION,0.01,6.50%,20.00%,31.60%,9.50%,"$29,927.00 ","208,414,601",1 Billion,"$1,164,998.00 "
2019,VEIL,VEIL,0.01,0.00%,79.30%,46.20%,240.70%,"$1,781.00 ","134,467,796",155 Million,"$1,160,741.00 "
2020,Crabada,CRA, $-   ,-0.50%,-14.30%,153.30%,1133.60%,"$10,730.00 ","355,983,565",1 Billion,"$1,158,272.00 "
2021,Ycash,YEC,0.08,-4.50%,8.70%,32.70%,83.10%,"$4,602.00 ","14,426,084",21 Million,"$1,156,962.00 "
2022,WHEE,WHEE,0.06,0.50%,11.70%,15.40%,-34.70%,"$106,027.00 ","21,000,000",21 Million,"$1,156,065.00 "
2023,Flooring Protocol μCaptainz,ΜCAPTAINZ,0.01,-0.10%,-2.70%,-11.30%,,"$34,470.00 ","141,000,000",141 Million,"$1,145,651.00 "
2024,PAC Protocol,PAC, $-   ,-2.20%,-5.60%,-16.90%,73.80%,"$26,239.00 ","17,443,914,837",50 Billion,"$1,142,137.00 "
2025,Moove Protocol,MOOVE,0.09,-0.50%,-3.30%,-17.80%,12.20%,"$11,088.00 ","12,649,480",23 Million,"$1,141,552.00 "
2026,Idavoll DAO,IDV, $-   ,-0.10%,1.50%,6.70%,36.60%,"$74,705.00 ","789,037,448",2 Billion,"$1,137,912.00 "
2027,Legia Warsaw Fan Token,LEG,0.43,-1.30%,0.50%,5.50%,0.60%,"$9,928.00 ","2,677,079",5 Million,"$1,137,721.00 "
2028,Concentrator,CTR,0.68,-0.10%,0.40%,-5.70%,74.50%,"$8,560.00 ","1,670,961",5 Million,"$1,136,713.00 "
2029,MEVFree,MEVFREE,0.02,0.30%,-5.50%,-24.50%,-68.40%,"$26,272.00 ","60,000,000",65 Million,"$1,136,973.00 "
2030,Sperax USD,USDS,1.00,0.10%,-0.80%,-0.40%,0.10%,"$49,455.00 ","1,136,228",1.14 Million,"$1,134,736.00 "
2031,Shibavax,SHIBX, $-   ,-0.30%,-8.00%,31.80%,364.10%,"$1,268.00 ","9,723,617,356",10 Billion,"$1,131,067.00 "
2032,Vigorus,VIS, $-   ,0.40%,10.90%,7.30%,112.80%,"$16,775.00 ","6,312,080,748",6.31 Billion,"$1,130,137.00 "
2033,PUMLx,PUMLX,0.01,0.10%,-0.70%,-6.60%,-2.40%,"$229,612.00 ","123,892,858",495 Million,"$1,129,226.00 "
2034,GM,GM, $-   ,-0.10%,3.40%,-17.90%,10.60%,"$134,450.00 ","477,669,287,856",1 Trillion,"$1,128,135.00 "
2035,Kick,KICK,0.01,-0.20%,3.50%,3.90%,13.50%,"$78,943.00 ","121,788,138",122 Million,"$1,125,477.00 "
2036,Solcial,SLCL, $-   ,0.90%,2.40%,-21.80%,19.80%,"$3,263.00 ","734,636,795",1 Billion,"$1,125,336.00 "
2037,ETHPad,ETHPAD,0.01,-0.90%,-8.30%,-6.10%,108.20%,"$26,430.00 ","137,000,000",1 Billion,"$1,114,801.00 "
2038,Spore,SPORE, $-   ,-0.80%,-2.90%,49.00%,164.00%,"$1,519.00 ","32,711,699,276,495,700",32.7 Quadrillion,"$1,114,876.00 "
2039,IOI,IOI,0.03,0.10%,-15.50%,14.60%,291.10%,"$238,697.00 ","36,510,000",37.5 Million,"$1,113,894.00 "
2040,CryptoCart V2,CCV2,1.20,-,-,-,-, - ,"930,358",1 Million,"$1,112,196.00 "
2041,KING,KING, $-   ,1.60%,-1.20%,15.00%,0.40%,"$147,710.00 ","10,000,000,000",10 Billion,"$1,100,155.00 "
2042,Reddcoin,RDD, $-   ,1.30%,-31.60%,-58.00%,-54.00%,"$7,095.00 ","31,090,915,762",-,"$1,097,551.00 "
2043,ISLAMICOIN,ISLAMI, $-   ,0.10%,-5.80%,-6.30%,-25.60%,"$629,201.00 ","2,885,348,819",9.37 Billion,"$1,094,491.00 "
2044,Dentacoin,DCN, $-   ,0.00%,0.10%,17.90%,3.30%,$16.65 ,"710,839,308,006",8 Trillion,"$1,093,151.00 "
2045,Planeteer Social,PLANETEER, $-   ,-0.20%,-5.50%,-91.60%,-94.10%,$182.00 ,"270,000,000",270 Million,"$1,092,388.00 "
2046,Achain,ACT, $-   ,0.00%,-1.40%,0.80%,3.40%,"$576,889.00 ","857,440,445",1 Billion,"$1,091,834.00 "
2047,Behodler,EYE,0.20,,-0.70%,7.00%,-16.00%,$236.00 ,"5,567,882",9.89 Million,"$1,092,117.00 "
2048,Team Vitality Fan Token,VIT,0.28,-0.20%,1.10%,5.90%,30.30%,$320.00 ,"3,824,208",7 Million,"$1,089,768.00 "
2049,Drops Ownership Power,DOP,0.09,-0.10%,-1.90%,4.20%,53.90%,"$32,709.00 ","12,731,652",15 Million,"$1,088,817.00 "
2050,Cardstarter,CARDS,0.14,-0.20%,0.40%,66.70%,116.40%,"$1,350.00 ","7,697,054",10 Million,"$1,087,733.00 "
2051,Lunar [OLD],LNR, $-   ,0.00%,0.00%,0.00%,0.00%, $-   ,"802,145,599,318,781",915 Trillion,"$2,349,532.00 "
2052,xWIN Finance,XWIN,0.11,-0.50%,-11.90%,-7.00%,1.80%,"$8,710.00 ","9,926,462",61 Million,"$1,084,123.00 "
2053,Web3Shot,W3S,0.41,0.20%,-1.30%,1.00%,18.30%,"$216,267.00 ","2,628,500",100 Million,"$1,081,830.00 "
2054,Sao Paulo FC Fan Token,SPFC,0.50,-1.00%,-0.50%,-5.60%,2.90%,"$68,866.00 ","2,175,920",20 Million,"$1,080,822.00 "
2055,Divergence Protocol,DIVER,0.01,-0.30%,0.00%,-0.60%,11.50%,"$236,560.00 ","123,873,661",1 Billion,"$1,077,191.00 "
2056,Idexo,IDO,0.02,0.00%,-0.30%,0.00%,26.80%,"$74,044.00 ","63,312,395",100 Million,"$1,075,178.00 "
2057,NerdBot,NERD,0.09,-0.30%,-0.30%,-24.20%,,"$322,125.00 ","12,201,135",100 Million,"$1,074,866.00 "
2058,Gamestarter,GAME,0.04,0.40%,-0.70%,4.00%,64.40%,"$19,131.00 ","30,185,767",100 Million,"$1,074,728.00 "
2059,Wins,WINS,0.02,0.10%,0.60%,1.20%,17.50%,"$2,100.00 ","46,038,934",1 Billion,"$1,071,332.00 "
2060,Lympo,LYM, $-   ,-0.10%,-9.60%,27.80%,59.40%,"$101,687.00 ","843,500,000",1 Billion,"$1,071,120.00 "
2061,Koyo,KOY, $-   ,1.60%,0.00%,-21.10%,-49.20%,"$6,445.00 ","546,671,549",582 Million,"$1,071,048.00 "
2062,İstanbul Başakşehir Fan Token,IBFK,0.95,-0.30%,-1.50%,1.10%,-2.90%,"$31,186.00 ","1,121,890",3 Million,"$1,069,520.00 "
2063,BlueMove,MOVE,0.02,1.00%,13.90%,1.40%,-23.40%,"$21,266.00 ","63,166,666",300 Million,"$1,063,327.00 "
2064,Konomi Network,KONO,0.03,0.00%,-1.20%,-20.40%,53.40%,"$328,818.00 ","36,689,113",100 Million,"$1,061,560.00 "
2065,O3 Swap,O3,0.03,0.30%,-5.50%,-14.10%,1.30%,"$424,919.00 ","35,725,692",40 Million,"$1,061,532.00 "
2066,Dacxi,DACXI, $-   ,0.00%,0.00%,-4.20%,-25.40%,"$127,981.00 ","1,058,655,812",10 Billion,"$1,059,004.00 "
2067,Green Planet,GAMMA,0.01,-1.40%,-14.20%,-6.30%,61.80%,"$758,492.00 ","80,515,189",100 Million,"$1,057,582.00 "
2068,SAVAGE,SAVG, $-   ,-0.20%,-4.50%,-14.80%,7.00%,"$36,320.00 ","479,558,744",1 Billion,"$1,057,590.00 "
2069,Convergence,CONV, $-   ,-0.50%,-1.30%,-5.50%,7.90%,"$289,550.00 ","1,998,946,315",10 Billion,"$1,052,572.00 "
2070,Metavault DAO,MVD,5.06,0.50%,0.50%,2.50%,3.70%,"$3,617.00 ","208,060",216 Thousand,"$1,050,193.00 "
2071,Oddz,ODDZ,0.01,0.60%,-12.50%,-8.70%,50.40%,"$138,286.00 ","89,405,704",100 Million,"$1,050,299.00 "
2072,Siren,SI,0.05,-,-,-,-, - ,"22,446,120",100 Million,"$1,048,660.00 "
2073,Liquidus,LIQ,0.06,-0.40%,-7.90%,-6.80%,-10.50%,"$39,504.00 ","16,497,132",77 Million,"$1,049,002.00 "
2074,Gold,GOLD,0.06,-0.10%,3.20%,4.30%,-59.60%,"$5,088.00 ","16,594,987",21 Million,"$1,047,701.00 "
2075,TOP Network,TOP, $-   ,-0.50%,2.40%,4.30%,21.20%,"$16,516,875.00 ","4,094,181,820",20 Billion,"$1,038,606.00 "
2076,Revenue Coin,RVC, $-   ,18.50%,-26.20%,14.00%,-8.60%,"$5,145.00 ","862,441,188",1.73 Billion,"$1,037,773.00 "
2077,Galvan,IZE, $-   ,-0.20%,-3.60%,-1.80%,-2.40%,"$37,764.00 ","3,241,037,934",3.24 Billion,"$1,037,443.00 "
2078,Sheesha Finance Polygon,MSHEESHA, $-   ,-0.40%,4.90%,39.00%,341.00%,"$30,934.00 ","398,703,378",1 Billion,"$1,036,661.00 "
2079,YAM,YAM,0.07,-0.30%,2.70%,-0.80%,27.00%,"$40,496.00 ","14,790,447",15.2 Million,"$1,029,452.00 "
2080,BitSong,BTSG,0.01,-0.60%,-4.10%,-14.40%,26.00%,"$5,140.00 ","108,442,198",122 Million,"$1,026,319.00 "
2081,HeadStarter,HST,0.01,0.00%,-4.30%,-3.60%,18.40%,$711.00 ,"137,170,155",2.5 Billion,"$1,025,200.00 "
2082,FOUR,FOUR,0.01,-1.00%,-22.40%,140.40%,369.60%,"$40,604.00 ","191,933,901",400 Million,"$1,022,374.00 "
2083,wLITI,WLITI, $-   ,-0.10%,4.40%,23.90%,20.30%,"$8,092.00 ","329,175,000",329 Million,"$1,019,143.00 "
2084,CrossWallet,CWT,0.01,0.00%,-12.50%,-35.10%,22.00%,"$23,849.00 ","125,000,000",125 Million,"$1,018,101.00 "
2085,Curate,XCUR,0.02,0.10%,11.90%,1.80%,44.30%,"$200,389.00 ","50,000,000",60 Million,"$1,018,059.00 "
2086,Dingocoin,DINGO, $-   ,-0.10%,1.80%,-25.30%,-14.30%,"$71,588.00 ","103,188,057,659",103 Billion,"$1,017,883.00 "
2087,Libre,LIBRE, $-   ,-0.10%,-1.80%,-2.30%,-4.70%,"$14,480.00 ","904,340,800",904 Million,"$1,015,319.00 "
2088,DePay,DEPAY,0.15,-,-,-,-, - ,"6,658,594",57 Million,"$1,005,299.00 "
2089,Concentric.fi,CONE,3.46,0.30%,-13.40%,-39.10%,12.80%,"$41,652.00 ","293,836",294 Thousand,"$1,013,239.00 "
2090,Okratech,ORT,0.01,-1.60%,-14.60%,42.30%,84.00%,"$1,306,025.00 ","180,100,000",874 Million,"$1,008,569.00 "
2091,cocktailbar.finance,COC,20.15,-0.10%,6.50%,136.00%,124.90%,"$11,286.00 ","50,000",50 Thousand,"$1,006,794.00 "
2092,Genius,GENI, $-   ,3.70%,3.00%,0.20%,-12.50%,"$3,414.00 ","285,338,561,018",∞,"$1,004,072.00 "
2093,Canxium,CAU,2.46,1.10%,61.40%,142.80%,666.30%,"$65,779.00 ","418,757",514 Thousand,"$1,002,800.00 "
2094,DLP Duck,DUCK,0.02,0.10%,-0.60%,-5.80%,14.00%,"$55,434.00 ","45,274,336",74.8 Million,"$1,002,606.00 "
2095,XING,XING,0.07,-,-,-,-, - ,"21,000,000",21 Million,"$1,378,072.00 "
2096,Conceal,CCX,0.05,-0.50%,-5.60%,51.10%,36.30%,$80.93 ,"21,727,228",200 Million,"$995,808.00 "
2097,Liquid Staked Flow,STFLOW,0.68,0.60%,-3.60%,-6.40%,37.10%,$0.08 ,"1,453,456",1.45 Million,"$992,423.00 "
2098,BeNFT Solutions,BEAI,0.58,-1.50%,-8.30%,-23.60%,-45.80%,"$278,637.00 ","1,700,146",7 Million,"$991,780.00 "
2099,Raven Protocol,RAVEN, $-   ,-0.50%,-21.50%,-27.10%,-45.20%,"$3,905.00 ","4,436,646,537",10 Billion,"$989,445.00 "
2100,Sora,XOR, $-   ,-9.70%,-18.70%,-27.10%,-78.80%,"$212,374.00 ","1,102,610,444",1.11 Billion,"$989,096.00 "
2101,IDLE,IDLE,0.18,-0.10%,-0.60%,-1.90%,-3.00%,"$1,090.00 ","5,441,645",13 Million,"$987,952.00 "
2102,Triall,TRL,0.02,-0.10%,-11.00%,-19.70%,6.00%,"$6,229.00 ","43,703,879",172 Million,"$986,869.00 "
2103,Nchart Token,CHART,0.10,0.10%,-1.20%,-10.60%,48.30%,"$20,220.00 ","10,000,000",10 Million,"$985,996.00 "
2104,DegenReborn,DEGEN, $-   ,-0.30%,1.60%,6.90%,36.20%,"$190,314.00 ","9,400,000,000,000",9.4 Trillion,"$979,534.00 "
2105,Maro,MARO, $-   ,-0.20%,2.10%,15.10%,8.70%,"$29,792.00 ","988,149,992",985 Million,"$976,674.00 "
2106,Chaintools,CTLS,0.09,-0.20%,1.30%,49.60%,13.80%,$489.00 ,"10,356,051",11 Million,"$974,316.00 "
2107,KleeKai,KLEE, $-   ,-0.80%,2.40%,-9.10%,11.30%,"$44,442.00 ","100,000,000,000,000,000",100 Quadrillion,"$972,125.00 "
2108,VNX Gold,VNXAU,64.39,-0.20%,0.00%,2.80%,0.80%,"$155,524.00 ","15,100",15.1 Thousand,"$971,622.00 "
2109,Throne,THN,0.03,-0.30%,-0.80%,1.10%,-10.90%,"$1,701,796.00 ","30,471,152",1.97 Billion,"$969,677.00 "
2110,Gro DAO,GRO,0.06,,-0.10%,-5.70%,-80.00%,$34.12 ,"15,621,085",36.3 Million,"$960,843.00 "
2111,TruBadger,TRUBGR, $-   ,-0.30%,-9.70%,-8.90%,-2.90%,$156.00 ,"467,245,792,106,982",1 Quadrillion,"$968,776.00 "
2112,Populous,PPT,0.03,-0.80%,-12.90%,-17.60%,-8.10%,"$93,337.00 ","36,226,899",53.3 Million,"$964,378.00 "
2113,Cope,COPE,0.05,-0.10%,-0.30%,20.00%,22.50%,$718.00 ,"19,360,000",50 Million,"$963,770.00 "
2114,Pika,PIKA, $-   ,0.30%,1.80%,6.90%,25.70%,$181.00 ,"95,874,551,883,586",50 Trillion,"$959,754.00 "
2115,Furucombo,COMBO,0.02,-0.90%,-0.10%,-9.50%,3.20%,"$59,940.00 ","44,124,746",100 Million,"$957,165.00 "
2116,SmartCredit,SMARTCREDIT,0.46,0.30%,-2.00%,-0.10%,45.10%,"$37,254.00 ","2,064,096",25 Million,"$954,649.00 "
2117,ORPO,ORPO,0.16,-,-,-,-, - ,"8,000,000",8 Million,"$1,312,450.00 "
2118,Shopping.io,SHOP,0.01,-0.10%,-1.80%,-12.50%,3.60%,"$14,024.00 ","99,612,728",99.6 Million,"$950,656.00 "
2119,Sashimi,SASHIMI, $-   ,0.20%,-10.60%,-5.80%,13.50%,"$38,646.00 ","223,697,422",228 Million,"$946,798.00 "
2120,Changex,CHANGE, $-   ,0.50%,-1.10%,-4.40%,5.20%,"$81,968.00 ","190,366,422",406 Million,"$945,919.00 "
2121,Construct,STANDARD,0.10,0.30%,-0.40%,-5.30%,-8.10%,$863.00 ,"9,315,043",20 Million,"$945,698.00 "
2122,Bird.Money,BIRD,11.97,-0.90%,-3.80%,-4.00%,39.90%,"$362,278.00 ","79,114",140 Thousand,"$944,995.00 "
2123,Maza,MZC, $-   ,-0.10%,-9.30%,-6.60%,-0.40%,$320.00 ,"2,220,632,350",2.42 Billion,"$944,546.00 "
2124,Rubidium,RBD,0.02,-,-,-,-, - ,"46,524,327",1 Billion,"$925,337.00 "
2125,Kava Swap,SWP, $-   ,-0.10%,0.00%,0.10%,-21.80%,"$26,070.00 ","189,843,741",250 Million,"$941,052.00 "
2126,Spores Network,SPO, $-   ,-0.40%,2.00%,11.50%,115.50%,"$59,686.00 ","1,058,302,432",5 Billion,"$935,202.00 "
2127,Apollo,APL, $-   ,2.20%,1.40%,18.30%,-16.40%,"$300,385.00 ","14,685,096,531",21.2 Billion,"$930,088.00 "
2128,BUX,BUX,0.01,-0.20%,-3.20%,36.60%,-43.40%,$99.30 ,"64,853,974",76.4 Million,"$927,445.00 "
2129,Stronger,STRNGR,1.68,-0.10%,0.10%,-4.40%,22.60%,"$4,317.00 ","551,712",10 Million,"$926,844.00 "
2130,Airbloc,ABL, $-   ,-0.10%,-1.00%,-7.90%,7.50%,$623.00 ,"279,158,920",400 Million,"$925,600.00 "
2131,SafeMoon Inu,SMI, $-   ,-0.10%,2.40%,-4.70%,-10.20%,$141.00 ,"1,000,000,000,000",1 Trillion,"$925,620.00 "
2132,Mars Ecosystem,XMS, $-   ,-0.30%,-7.10%,0.10%,127.40%,"$4,635.00 ","663,798,968",1 Billion,"$921,702.00 "
2133,Synapse Network,SNP,0.01,-,-,-,-, - ,"110,788,728",198 Million,"$911,860.00 "
2134,McPepe's,PEPES, $-   ,0.40%,5.50%,8.80%,22.10%,"$66,680.00 ","100,000,000,000",100 Billion,"$919,258.00 "
2135,BitcoinZ,BTCZ, $-   ,0.30%,-1.60%,44.30%,18.40%,"$19,781.00 ","12,604,557,974",21 Billion,"$919,038.00 "
2136,Benji Bananas,BENJI, $-   ,0.10%,-7.60%,-15.30%,59.40%,"$1,560,321.00 ","187,504,907",2.06 Billion,"$917,840.00 "
2137,GoMeat,GOMT,0.41,0.00%,-9.40%,15.80%,32.10%,$130.00 ,"2,234,355",4.94 Million,"$917,386.00 "
2138,IBS,IBS, $-   ,-2.50%,0.10%,-0.10%,-15.80%,"$1,399.00 ","1,079,758,511",1.5 Billion,"$916,861.00 "
2139,AMLT Network,AMLT, $-   ,-0.10%,-0.60%,10.20%,28.80%,$931.00 ,"336,085,293",400 Million,"$916,591.00 "
2140,Mobility Coin,MOBIC, $-   ,-11.00%,-9.90%,1.30%,-53.30%,$322.00 ,"707,793,833",708 Million,"$916,032.00 "
2141,StellaSwap,STELLA,0.03,-0.30%,-10.60%,-16.60%,55.80%,"$16,310.00 ","29,266,583",29.3 Million,"$913,453.00 "
2142,B-cube.ai,BCUBE,0.05,-0.10%,-6.30%,-13.30%,-14.60%,"$4,830.00 ","20,177,510",49.7 Million,"$913,418.00 "
2143,Nifty League,NFTL, $-   ,-0.10%,0.90%,-0.90%,160.10%,$38.55 ,"675,641,825",751 Million,"$912,931.00 "
2144,Mycelium,MYC, $-   ,0.50%,134.20%,47.40%,94.60%,$383.00 ,"568,503,411",621 Million,"$912,073.00 "
2145,Platypus Finance,PTP,0.01,-0.60%,-20.00%,-30.50%,30.30%,"$66,070.00 ","74,249,061",300 Million,"$911,776.00 "
2146,Revomon,REVO,0.03,-0.50%,-12.40%,10.00%,72.20%,"$14,666.00 ","31,564,140",46 Million,"$910,731.00 "
2147,ChainSwap,CHAINS, $-   ,-2.00%,3.50%,-37.80%,,"$37,286.00 ","546,392,234",1 Billion,"$909,247.00 "
2148,BISO,BISO, $-   ,-1.40%,20.40%,173.50%,937.10%,"$403,534.00 ","210,000,000",210 Million,"$908,207.00 "
2149,Paysenger EGO,EGO,0.02,0.80%,-0.90%,-8.30%,-15.10%,"$596,459.00 ","48,692,855",500 Million,"$906,191.00 "
2150,Honest,HNST,0.01,-0.10%,-2.00%,1.50%,5.10%,"$3,673.00 ","150,666,667",400 Million,"$905,492.00 "
2151,GetKicks,KICKS, $-   ,3.20%,17.60%,31.50%,36.70%,"$1,815,504.00 ","1,514,551,587",5 Billion,"$901,925.00 "
2152,BattleFly,GFLY,0.28,1.70%,3.80%,0.80%,9.30%,"$4,565.00 ","3,178,776",3.18 Million,"$895,531.00 "
2153,VNX Swiss Franc,VCHF,1.12,-0.30%,-0.30%,0.10%,1.00%,"$64,538.00 ","790,393",790 Thousand,"$887,735.00 "
2154,Unicly,UNIC,1.91,-0.20%,0.30%,1.60%,14.90%,"$123,694.00 ","464,708",465 Thousand,"$887,618.00 "
2155,Trava Finance,TRAVA, $-   ,-0.80%,-8.60%,73.90%,136.90%,"$143,652.00 ","1,567,447,255",5 Billion,"$887,234.00 "
